feature,importance_mean,importance_std
systolic_bp,0.136928323319632,0.005599444880473648
age_years,0.03562849170727267,0.0011915113929732474
cholesterol,0.029775841054100517,0.0009454898252362801
invalid_blood_pressure,0.005051821244429844,0.0010369172430576771
mean_arterial_pressure,0.004268209843996185,0.0013378845667872373
bmi,0.003336645186294529,0.000509859630152786
active,0.0024025842374254093,0.00031979050679745266
glucose,0.0018881082289437634,0.00032052207702371456
weight_kg,0.0018193642106415053,0.0004025420238950506
smoker,0.0005162042100590458,0.0003670320220967809
pulse_pressure,0.00022753053916204635,8.363655910964203e-05
height_cm,3.085159853040142e-05,3.0150531469225895e-05
invalid_weight,0.0,0.0
invalid_height,0.0,0.0
invalid_age,0.0,0.0
alcohol,-7.498474622087414e-05,0.0002205483528595575
gender,-7.660093473311757e-05,0.0001772142492056648
diastolic_bp,-9.210674333055557e-05,8.027379650439257e-05
